Image file,Medium,Museum,Museum-based instance ID,Subset,Width,Height,Product size,Aspect ratio
1980.266.jpeg,Oil on canvas,The Cleveland Museum of Art,1980.266,train,5527.0,6685.0,36947995.0,0.8268
11777.jpg,Oil on canvas,Metropolitan Museum of Art,50.155.1,train,1831.0,2365.0,4330315.0,0.7742
1994.119.jpeg,Oil on canvas,The Cleveland Museum of Art,1994.119,train,3713.0,4670.0,17339710.0,0.7951
437380.jpg,Oil on canvas,Metropolitan Museum of Art,27.29,train,1953.0,1574.0,3074022.0,1.2408
1980.280.jpeg,Oil on canvas,The Cleveland Museum of Art,1980.280,train,5679.0,6883.0,39088557.0,0.8251
225620-77367.jpg,Oil on canvas,Los Angeles County Museum of Art,225620-77367,train,4550.0,6088.0,27700400.0,0.7474
1950.250.jpeg,Oil on canvas,The Cleveland Museum of Art,1950.250,train,4838.0,5239.0,25346282.0,0.9235
229132-77807.jpg,Oil on canvas,Los Angeles County Museum of Art,229132-77807,train,2208.0,3125.0,6900000.0,0.7066
1923.602.jpeg,Oil on canvas,The Cleveland Museum of Art,1923.602,train,5682.0,5633.0,32006706.0,1.0087
11113.jpg,Oil on canvas,Metropolitan Museum of Art,06.1281,train,1894.0,1893.0,3585342.0,1.0005
1964.361.jpeg,Oil on canvas,The Cleveland Museum of Art,1964.361,train,6381.0,5293.0,33774633.0,1.2056
1929.133.jpeg,Oil on canvas,The Cleveland Museum of Art,1929.133,train,5046.0,7330.0,36987180.0,0.6884
210258-269208.jpg,Oil on canvas,Los Angeles County Museum of Art,210258-269208,train,5155.0,8434.0,43477270.0,0.6112
659875.jpg,Oil on canvas,Metropolitan Museum of Art,2014.566,train,2703.0,3886.0,10503858.0,0.6956
1939.269.jpeg,Oil on canvas,The Cleveland Museum of Art,1939.269,train,13687.0,11370.0,155621190.0,1.2038
1958.21.jpeg,Oil on canvas,The Cleveland Museum of Art,1958.21,train,14368.0,11448.0,164484864.0,1.2551
435907.jpg,Oil on canvas,Metropolitan Museum of Art,47.12,train,1905.0,1455.0,2771775.0,1.3093
225613-77372.jpg,Oil on canvas,Los Angeles County Museum of Art,225613-77372,train,4528.0,3753.0,16993584.0,1.2065
437268.jpg,Oil on canvas,Metropolitan Museum of Art,1984.458,train,3785.0,3440.0,13020400.0,1.1003
437181.jpg,Oil on canvas,Metropolitan Museum of Art,45.172,train,3023.0,3864.0,11680872.0,0.7823
19826.jpg,Oil on canvas,Metropolitan Museum of Art,2008.467,train,3205.0,3845.0,12323225.0,0.8336
1952.235.4.jpeg,Oil on canvas,The Cleveland Museum of Art,1952.235.4,train,5285.0,3912.0,20674920.0,1.351
1939.234.jpeg,Oil on canvas,The Cleveland Museum of Art,1939.234,train,2048.0,1498.0,3067904.0,1.3672
435878.jpg,Oil on canvas,Metropolitan Museum of Art,1994.420,train,3001.0,1780.0,5341780.0,1.686
436819.jpg,Oil on canvas,Metropolitan Museum of Art,64.148,train,2876.0,3877.0,11150252.0,0.7418
225616-77359.jpg,Oil on canvas,Los Angeles County Museum of Art,225616-77359,train,2414.0,1819.0,4391066.0,1.3271
232435-148833.jpg,Oil on canvas,Los Angeles County Museum of Art,232435-148833,train,2543.0,3036.0,7720548.0,0.8376
215529-32869.jpg,Oil on canvas,Los Angeles County Museum of Art,215529-32869,train,4550.0,6088.0,27700400.0,0.7474
172085-26331.jpg,Oil on canvas,Los Angeles County Museum of Art,172085-26331,train,2275.0,2850.0,6483750.0,0.7982
212169-8152.jpg,Oil on canvas,Los Angeles County Museum of Art,212169-8152,train,4752.0,4550.0,21621600.0,1.0444
229395-77971.jpg,Oil on canvas,Los Angeles County Museum of Art,229395-77971,train,2729.0,3374.0,9207646.0,0.8088
222686-5889.jpg,Oil on canvas,Los Angeles County Museum of Art,222686-5889,train,5064.0,3748.0,18979872.0,1.3511
1967.17.jpeg,Oil on canvas,The Cleveland Museum of Art,1967.17,train,5629.0,7249.0,40804621.0,0.7765
3919.1920.jpeg,Oil on canvas,The Cleveland Museum of Art,3919.1920,train,3512.0,4276.0,15017312.0,0.8213
1969.52.jpeg,Oil on canvas,The Cleveland Museum of Art,1969.52,train,4813.0,5794.0,27886522.0,0.8307
11764.jpg,Oil on canvas,Metropolitan Museum of Art,62.256.2,train,3379.0,3684.0,12448236.0,0.9172
11779.jpg,Oil on canvas,Metropolitan Museum of Art,1982.373,train,1707.0,2136.0,3646152.0,0.7992
1977.121.jpeg,Oil on canvas,The Cleveland Museum of Art,1977.121,train,6885.0,4435.0,30534975.0,1.5524
177026-138094.jpg,Oil on canvas,Los Angeles County Museum of Art,177026-138094,train,3061.0,2416.0,7395376.0,1.2670000000000001
437975.jpg,Oil on canvas,Metropolitan Museum of Art,87.15.23,train,3811.0,2920.0,11128120.0,1.3051
461.1915.jpeg,Oil on canvas,The Cleveland Museum of Art,461.1915,train,3486.0,4322.0,15066492.0,0.8066
2092283-278330.jpg,Oil on canvas,Los Angeles County Museum of Art,2092283-278330,train,5224.0,3648.0,19057152.0,1.432
175277-74721.jpg,Oil on canvas,Los Angeles County Museum of Art,175277-74721,train,3333.0,2031.0,6769323.0,1.6411
1951.323.jpeg,Oil on canvas,The Cleveland Museum of Art,1951.323,train,6105.0,2841.0,17344305.0,2.1489
1916.1032.jpeg,Oil on canvas,The Cleveland Museum of Art,1916.1032,train,6000.0,4941.0,29646000.0,1.2143
435738.jpg,Oil on canvas,Metropolitan Museum of Art,49.7.46,train,3619.0,4000.0,14476000.0,0.9048
1961.219.jpeg,Oil on canvas,The Cleveland Museum of Art,1961.219,train,4270.0,5500.0,23485000.0,0.7764
229465-78147.jpg,Oil on canvas,Los Angeles County Museum of Art,229465-78147,train,2528.0,3192.0,8069376.0,0.792
1970.32.jpeg,Oil on canvas,The Cleveland Museum of Art,1970.32,train,6000.0,5429.0,32574000.0,1.1052
2092283-383466.jpg,Oil on canvas,Los Angeles County Museum of Art,2092283-383466,train,7337.0,5669.0,41593453.0,1.2942
229569-12029.jpg,Oil on canvas,Los Angeles County Museum of Art,229569-12029,val,3912.0,4920.0,19247040.0,0.7951
436867.jpg,Oil on canvas,Metropolitan Museum of Art,16.148.1,val,1350.0,1465.0,1977750.0,0.9215
459087.jpg,Oil on canvas,Metropolitan Museum of Art,1975.1.145,val,2813.0,3890.0,10942570.0,0.7231
437882.jpg,Oil on canvas,Metropolitan Museum of Art,49.7.40,val,1431.0,1862.0,2664522.0,0.7685
241591-151336.jpg,Oil on canvas,Los Angeles County Museum of Art,241591-151336,val,2118.0,3700.0,7836600.0,0.5724
1952.222.jpeg,Oil on canvas,The Cleveland Museum of Art,1952.222,val,3435.0,5929.0,20366115.0,0.5794
1986.73.jpeg,Oil on canvas,The Cleveland Museum of Art,1986.73,val,6090.0,3670.0,22350300.0,1.6594
1978.74.jpeg,Oil on canvas,The Cleveland Museum of Art,1978.74,val,5692.0,3760.0,21401920.0,1.5138
435689.jpg,Oil on canvas,Metropolitan Museum of Art,30.95.269,val,3038.0,3716.0,11289208.0,0.8175
225620-77370.jpg,Oil on canvas,Los Angeles County Museum of Art,225620-77370,val,6088.0,4550.0,27700400.0,1.338
1949.187.jpeg,Oil on canvas,The Cleveland Museum of Art,1949.187,val,5148.0,3848.0,19809504.0,1.3378
2092283-278328.jpg,Oil on canvas,Los Angeles County Museum of Art,2092283-278328,val,3576.0,5335.0,19077960.0,0.6703
435986.jpg,Oil on canvas,Metropolitan Museum of Art,1980.203.4,val,3811.0,1173.0,4470303.0,3.2489
19524.jpg,Oil on canvas,Metropolitan Museum of Art,2007.281.4,val,1116.0,1562.0,1743192.0,0.7145
437333.jpg,Oil on canvas,Metropolitan Museum of Art,1978.402,val,3438.0,3842.0,13208796.0,0.8948
435849.jpg,Oil on canvas,Metropolitan Museum of Art,49.4,val,1863.0,3722.0,6934086.0,0.5005
11187.jpg,Oil on canvas,Metropolitan Museum of Art,43.55.2,val,3114.0,3864.0,12032496.0,0.8059
2092281-14761.jpg,Oil on canvas,Los Angeles County Museum of Art,2092281-14761,val,7425.0,5811.0,43146675.0,1.2777
2003.6.5.jpeg,Oil on canvas,The Cleveland Museum of Art,2003.6.5,val,3540.0,5500.0,19470000.0,0.6436
10468.jpg,Oil on canvas,Metropolitan Museum of Art,13.90,val,3369.0,3850.0,12970650.0,0.8751
1996.1.jpeg,Oil on canvas,The Cleveland Museum of Art,1996.1,test,4450.0,5500.0,24475000.0,0.8091
437995.jpg,Oil on canvas,Metropolitan Museum of Art,2003.20.6,test,3811.0,2723.0,10377353.0,1.3996
1941.14.jpeg,Oil on canvas,The Cleveland Museum of Art,1941.14,test,14577.0,10586.0,154312122.0,1.3769999999999998
437729.jpg,Oil on canvas,Metropolitan Museum of Art,89.15.17,test,2489.0,3722.0,9264058.0,0.6687
1977.37.1.jpeg,Oil on canvas,The Cleveland Museum of Art,1977.37.1,test,11409.0,11268.0,128556612.0,1.0125
232854-149012.jpg,Oil on canvas,Los Angeles County Museum of Art,232854-149012,test,3243.0,2561.0,8305323.0,1.2663
1916.1034.jpeg,Oil on canvas,The Cleveland Museum of Art,1916.1034,test,7473.0,5522.0,41265906.0,1.3533
240390-83892.jpg,Oil on canvas,Los Angeles County Museum of Art,240390-83892,test,2796.0,3180.0,8891280.0,0.8792
1991.110.jpeg,Oil on canvas,The Cleveland Museum of Art,1991.110,test,4621.0,3744.0,17301024.0,1.2342
435922.jpg,Oil on canvas,Metropolitan Museum of Art,50.145.8,test,1955.0,1541.0,3012655.0,1.2687
1948.181.2.jpeg,Oil on canvas,The Cleveland Museum of Art,1948.181.2,test,6600.0,3642.0,24037200.0,1.8122
1968.208.jpeg,Oil on canvas,The Cleveland Museum of Art,1968.208,test,4358.0,6146.0,26784268.0,0.7091
249025-58125.jpg,Oil on canvas,Los Angeles County Museum of Art,249025-58125,test,5676.0,3044.0,17277744.0,1.8647
437873.jpg,Oil on canvas,Metropolitan Museum of Art,14.40.639,test,1998.0,3869.0,7730262.0,0.5164
1949.185.jpeg,Oil on canvas,The Cleveland Museum of Art,1949.185,test,3513.0,4190.0,14719470.0,0.8384
1951.355.jpeg,Oil on canvas,The Cleveland Museum of Art,1951.355,test,13750.0,11594.0,159417500.0,1.186
438001.jpg,Oil on canvas,Metropolitan Museum of Art,1997.391.3,test,3811.0,3028.0,11539708.0,1.2586
246678-52510.jpg,Oil on canvas,Los Angeles County Museum of Art,246678-52510,test,3792.0,4768.0,18080256.0,0.7953
437183.jpg,Oil on canvas,Metropolitan Museum of Art,03.37.3,test,1489.0,1935.0,2881215.0,0.7695
11230.jpg,Oil on canvas,Metropolitan Museum of Art,10.64.6,test,3811.0,2309.0,8799599.0,1.6505
436190.jpg,Oil on canvas,Metropolitan Museum of Art,53.160,test,3205.0,3863.0,12380915.0,0.8297
1940.540.jpeg,Oil on canvas,The Cleveland Museum of Art,1940.540,test,7628.0,4402.0,33578456.0,1.7328
1977.124.jpeg,Oil on canvas,The Cleveland Museum of Art,1977.124,test,4639.0,5533.0,25667587.0,0.8384
435703.jpg,Oil on canvas,Metropolitan Museum of Art,87.15.109,test,3809.0,3085.0,11750765.0,1.2347
436162.jpg,Oil on canvas,Metropolitan Museum of Art,29.100.43,test,1905.0,1344.0,2560320.0,1.4174
229714-78434.jpg,Oil on canvas,Los Angeles County Museum of Art,229714-78434,test,3228.0,2404.0,7760112.0,1.3428
179391-114025.jpg,Oil on canvas,Los Angeles County Museum of Art,179391-114025,test,3041.0,2538.0,7718058.0,1.1982
229321-77978.jpg,Oil on canvas,Los Angeles County Museum of Art,229321-77978,test,3663.0,1942.0,7113546.0,1.8862
228816-11892.jpg,Oil on canvas,Los Angeles County Museum of Art,228816-11892,test,3275.0,2520.0,8253000.0,1.2996
731688-1873.jpg,Oil on canvas,Los Angeles County Museum of Art,731688-1873,test,4559.0,6424.0,29287016.0,0.7097
225581-77072.jpg,Oil on canvas,Los Angeles County Museum of Art,225581-77072,test,2538.0,3271.0,8301798.0,0.7759
246877-52811.jpg,Oil on canvas,Los Angeles County Museum of Art,246877-52811,test,776.0,976.0,757376.0,0.7951
1980.202.jpeg,Oil on canvas,The Cleveland Museum of Art,1980.202,test,3665.0,4593.0,16833345.0,0.7979999999999999
1919.32.jpeg,Oil on canvas,The Cleveland Museum of Art,1919.32,test,6184.0,4260.0,26343840.0,1.4516
1940.542.jpeg,Oil on canvas,The Cleveland Museum of Art,1940.542,test,4384.0,5500.0,24112000.0,0.7971
436831.jpg,Oil on canvas,Metropolitan Museum of Art,1980.4,test,3907.0,2893.0,11302951.0,1.3505
11253.jpg,Oil on canvas,Metropolitan Museum of Art,15.30.65,test,2394.0,1926.0,4610844.0,1.2429999999999999
1944.93.jpeg,Oil on canvas,The Cleveland Museum of Art,1944.93,test,4417.0,5335.0,23564695.0,0.8279
212164-8136.jpg,Oil on canvas,Los Angeles County Museum of Art,212164-8136,test,5448.0,4288.0,23361024.0,1.2705
436546.jpg,Oil on canvas,Metropolitan Museum of Art,61.259,test,3063.0,3800.0,11639400.0,0.8061
1952.541.jpeg,Oil on canvas,The Cleveland Museum of Art,1952.541,test,4026.0,4957.0,19956882.0,0.8122
